########---Study, for all graphs, of ratio in_degree/(out_degree + 1) in its average and its variance. 
Study of the trend of (in_degree, out_degree + 1, ratio) too.---########
-----------------------------------------------------------
31,29,1.069
17,23,0.739
27,29,0.931
22,28,0.786
33,28,1.179
22,23,0.957
24,27,0.889
19,29,0.655
17,28,0.607
28,30,0.933
29,21,1.381
18,27,0.667
25,26,0.962
22,18,1.222
37,29,1.276
22,24,0.917
14,26,0.538
27,22,1.227
19,22,0.864
34,23,1.478
23,21,1.095
25,20,1.250
25,31,0.806
20,29,0.690
23,24,0.958
16,24,0.667
29,29,1.000
23,31,0.742
21,22,0.955
25,23,1.087
23,20,1.150
21,24,0.875
26,27,0.963
25,17,1.471
25,29,0.862
20,19,1.053
24,22,1.091
20,24,0.833
23,25,0.920
22,23,0.957
32,35,0.914
21,27,0.778
22,27,0.815
26,22,1.182
25,20,1.250
17,26,0.654
22,21,1.048
19,18,1.056
23,33,0.697
28,25,1.120
32,28,1.143
32,23,1.391
30,29,1.034
16,29,0.552
30,28,1.071
22,24,0.917
23,27,0.852
16,22,0.727
20,21,0.952
27,24,1.125
24,22,1.091
17,28,0.607
22,24,0.917
18,22,0.818
24,29,0.828
26,25,1.040
27,25,1.080
16,28,0.571
28,23,1.217
24,22,1.091
22,21,1.048
30,21,1.429
24,20,1.200
26,24,1.083
24,30,0.800
18,21,0.857
30,17,1.765
16,20,0.800
25,22,1.136
25,32,0.781
34,13,2.615
18,29,0.621
26,22,1.182
27,22,1.227
23,19,1.211
31,28,1.107
30,18,1.667
21,28,0.750
25,20,1.250
27,30,0.900
24,30,0.800
21,27,0.778
19,28,0.679
18,23,0.783
29,29,1.000
21,26,0.808
23,25,0.920
28,30,0.933
21,27,0.778
../outcomes/parted_graph.pickle avg_in_out =  0.9898253706
../outcomes/parted_graph.pickle var_in_out =  0.0718320815
-----------------------------------------------------------
0,3,0.000
1,1,1.000
18,10,1.800
0,2,0.000
22,5,4.400
0,4,0.000
2,1,2.000
2,1,2.000
1,1,1.000
0,11,0.000
2,6,0.333
2,1,2.000
1,2,0.500
1,5,0.200
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
3,5,0.600
0,2,0.000
40,1,40.000
0,25,0.000
1,1,1.000
1,2,0.500
1,1,1.000
3,2,1.500
2,3,0.667
1,5,0.200
1,2,0.500
5,1,5.000
5,16,0.312
1,1,1.000
1,2,0.500
1,1,1.000
4,6,0.667
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,3,0.333
1,2,0.500
1,1,1.000
1,1,1.000
2,2,1.000
1,2,0.500
1,1,1.000
0,2,0.000
16,19,0.842
0,2,0.000
3,6,0.500
0,14,0.000
1,3,0.333
2,1,2.000
1,2,0.500
1,4,0.250
1,3,0.333
2,2,1.000
4,2,2.000
3,2,1.500
2,1,2.000
3,1,3.000
2,1,2.000
1,3,0.333
1,3,0.333
0,2,0.000
29,62,0.468
0,2,0.000
0,5,0.000
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
0,11,0.000
4,6,0.667
1,1,1.000
4,1,4.000
1,3,0.333
1,4,0.250
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
0,2,0.000
73,34,2.147
0,2,0.000
26,44,0.591
0,2,0.000
4,173,0.023
0,3,0.000
1,1,1.000
0,2,0.000
0,3,0.000
1,1,1.000
0,3,0.000
2,63,0.032
1,7,0.143
8,6,1.333
../outcomes/retweet_graph_beefban.pickle avg_in_out =  0.8063738736
