########---Study, for all graphs, of ratio in_degree/(out_degree + 1) in its average and its variance. 
Study of the trend of (in_degree, out_degree + 1, ratio) too.---########
-----------------------------------------------------------
17,22,0.773
30,20,1.500
18,20,0.900
26,26,1.000
31,32,0.969
20,21,0.952
29,17,1.706
24,18,1.333
28,26,1.077
22,22,1.000
29,29,1.000
21,21,1.000
22,23,0.957
25,23,1.087
28,23,1.217
28,29,0.966
28,27,1.037
26,21,1.238
25,23,1.087
23,23,1.000
17,33,0.515
24,21,1.143
31,20,1.550
28,35,0.800
29,23,1.261
27,25,1.080
22,20,1.100
28,28,1.000
20,27,0.741
30,23,1.304
30,21,1.429
29,30,0.967
21,27,0.778
28,21,1.333
27,22,1.227
25,34,0.735
24,19,1.263
20,20,1.000
18,23,0.783
22,31,0.710
26,25,1.040
23,28,0.821
27,32,0.844
22,25,0.880
23,25,0.920
23,26,0.885
24,18,1.333
21,25,0.840
18,29,0.621
22,18,1.222
23,27,0.852
12,29,0.414
27,31,0.871
21,18,1.167
18,30,0.600
29,25,1.160
19,29,0.655
30,27,1.111
19,22,0.864
21,26,0.808
25,23,1.087
23,25,0.920
27,26,1.038
22,22,1.000
21,25,0.840
31,23,1.348
31,26,1.192
18,21,0.857
31,28,1.107
33,27,1.222
20,24,0.833
24,28,0.857
21,33,0.636
21,25,0.840
26,27,0.963
16,29,0.552
26,28,0.929
22,32,0.688
20,22,0.909
22,33,0.667
24,27,0.889
27,23,1.174
21,27,0.778
26,22,1.182
29,29,1.000
20,32,0.625
22,24,0.917
34,24,1.417
14,27,0.519
17,32,0.531
26,20,1.300
26,24,1.083
24,26,0.923
26,31,0.839
26,23,1.130
21,22,0.955
22,26,0.846
22,29,0.759
23,31,0.742
../outcomes/parted_graph.pickle avg_in_out =  0.9869725891
../outcomes/parted_graph.pickle var_in_out =  0.0590143564
-----------------------------------------------------------
0,3,0.000
1,1,1.000
18,10,1.800
0,2,0.000
22,5,4.400
0,4,0.000
2,1,2.000
2,1,2.000
1,1,1.000
0,11,0.000
2,6,0.333
2,1,2.000
1,2,0.500
1,5,0.200
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
3,5,0.600
0,2,0.000
40,1,40.000
0,25,0.000
1,1,1.000
1,2,0.500
1,1,1.000
3,2,1.500
2,3,0.667
1,5,0.200
1,2,0.500
5,1,5.000
5,16,0.312
1,1,1.000
1,2,0.500
1,1,1.000
4,6,0.667
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
1,3,0.333
1,2,0.500
1,1,1.000
1,1,1.000
2,2,1.000
1,2,0.500
1,1,1.000
0,2,0.000
16,19,0.842
0,2,0.000
3,6,0.500
0,14,0.000
1,3,0.333
2,1,2.000
1,2,0.500
1,4,0.250
1,3,0.333
2,2,1.000
4,2,2.000
3,2,1.500
2,1,2.000
3,1,3.000
2,1,2.000
1,3,0.333
1,3,0.333
0,2,0.000
29,62,0.468
0,2,0.000
0,5,0.000
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
0,11,0.000
4,6,0.667
1,1,1.000
4,1,4.000
1,3,0.333
1,4,0.250
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
0,2,0.000
73,34,2.147
0,2,0.000
26,44,0.591
0,2,0.000
4,173,0.023
0,3,0.000
1,1,1.000
0,2,0.000
0,3,0.000
1,1,1.000
0,3,0.000
2,63,0.032
1,7,0.143
8,6,1.333
../outcomes/retweet_graph_beefban.pickle avg_in_out =  0.8063738736
../outcomes/retweet_graph_beefban.pickle var_in_out =  2.0252305225
-----------------------------------------------------------
0,2,0.000
54,150,0.360
0,2,0.000
13,6,2.167
0,5,0.000
28,51,0.549
8,6,1.333
13,33,0.394
44,31,1.419
0,2,0.000
61,41,1.488
0,2,0.000
1,55,0.018
0,2,0.000
5,28,0.179
0,2,0.000
1,81,0.012
0,2,0.000
25,47,0.532
0,5,0.000
10,4,2.500
6,2,3.000
8,1,8.000
2,4,0.500
0,2,0.000
1,4,0.250
0,2,0.000
5,4,1.250
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,1,1.000
3,3,1.000
3,1,3.000
4,1,4.000
1,1,1.000
9,1,9.000
1,1,1.000
6,1,6.000
1,1,1.000
2,3,0.667
1,1,1.000
1,1,1.000
1,1,1.000
1,7,0.143
1,1,1.000
1,1,1.000
2,1,2.000
1,1,1.000
1,1,1.000
1,2,0.500
2,1,2.000
1,1,1.000
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
1,2,0.500
2,2,1.000
1,2,0.500
1,2,0.500
5,3,1.667
1,1,1.000
1,1,1.000
1,2,0.500
1,1,1.000
8,2,4.000
1,1,1.000
3,1,3.000
1,1,1.000
1,1,1.000
1,3,0.333
1,1,1.000
1,1,1.000
2,1,2.000
1,4,0.250
1,1,1.000
1,1,1.000
1,1,1.000
4,2,2.000
1,2,0.500
2,1,2.000
5,1,5.000
2,1,2.000
2,2,1.000
1,1,1.000
4,1,4.000
13,3,4.333
1,1,1.000
2,5,0.400
1,1,1.000
1,1,1.000
1,1,1.000
2,1,2.000
4,1,4.000
1,1,1.000
1,1,1.000
3,3,1.000
../outcomes/retweet_graph_russia_march.pickle avg_in_out =  0.8430413170
../outcomes/retweet_graph_russia_march.pickle var_in_out =  1.0903954887
-----------------------------------------------------------
0,3,0.000
